code, e1, e2, p1, p2, form, floor_area, level, extract, trickle, extract2, trickle2, fans, horizon, gor_ehs,fuelpov,buildyear,tenure,agehr,rebate
H0342317,1487.580309,1487.580309,20.12316804,20.12316804,Detached,8,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,OwnerOccupied,CatF,TRUE
H0342405,688.927433,688.927433,19.02818481,19.02818481,MidTerrace,8,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatB,OwnerOccupied,CatD,TRUE
H0351117,176.5017205,176.5017205,14.5529196,14.5529196,PurposeBuiltFlatLowRise,8,1,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatB,TRUE
H0351222,1431.66042,1431.66042,30,30,Detached,8,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatC,OwnerOccupied,CatF,TRUE
H0351420,148.7815008,148.7815008,13.67529306,13.67529306,PurposeBuiltFlatLowRise,8,2,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatB,PrivateRented,CatB,TRUE
H0352120,273.3509861,273.3509861,18.55265226,18.55265226,PurposeBuiltFlatLowRise,8,3,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatD,TRUE
H0352213,678.0571454,678.0571454,18.90106321,18.90106321,MidTerrace,8,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatF,PrivateRented,CatB,TRUE
H0352222,254.4754275,254.4754275,12.80674309,12.80674309,PurposeBuiltFlatLowRise,8,1,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatE,PrivateRented,CatC,TRUE
H0353301,534.4925959,534.4925959,18.0028707,18.0028707,MidTerrace,8,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatA,OwnerOccupied,CatE,TRUE
H0353405,994.1836843,994.1836843,20.2268911,20.2268911,SemiDetached,8,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatA,PrivateRented,CatB,TRUE
H0353407,251.7172238,251.7172238,6.902793271,6.902793271,PurposeBuiltFlatLowRise,8,1,TRUE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatA,OwnerOccupied,CatC,TRUE
H0361113,192.6121876,192.6121876,12.18244615,12.18244615,PurposeBuiltFlatLowRise,8,2,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatA,PrivateRented,CatB,TRUE
H0362116,311.7744479,311.7744479,18.25587275,18.25587275,PurposeBuiltFlatLowRise,8,1,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatF,PrivateRented,CatA,TRUE
H0362204,507.143538,507.143538,16.52836083,16.52836083,EndTerrace,8,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatC,OwnerOccupied,CatD,TRUE
H0362218,270.7108902,270.7108902,11.59193764,11.59193764,PurposeBuiltFlatLowRise,8,1,FALSE,FALSE,TRUE,TRUE,5,1,3,TRUE,CatA,OwnerOccupied,CatF,TRUE
